FUDN;Name;Size;Type;Explanation;Version;Status;Modified
1;GEODETIC DATUM;3-6;Individual;THE GEODETIC DATUM TRANSFORMATION WILL IDENTIFY THE PARAMETERS REQUIRED TO TRANSFORM COORDINATES REFERENCED TO THE LOCAL GEODETIC DATUM INTO COORDINATES REFERENCED TO THE WORLD GEODETIC SYSTEM 1984 DATUM AND VICE VERSA. THIS WILL ALLOW FOR THE DESCRIPTION OF A UNIQUE AND UNAMBIGUOUS LOCATION.;1.0;In Service;03 Dec 07
2;COORDINATES DATUM;3-3;Individual;DATUM USED IN THE PRODUCTION OF THE BASE REFERENCE MAP, GRAPHIC OR THE COORDINATE ITSELF.;1.0;In Service;03 Dec 07
3;MAP DATUM;3-3;Individual;THE POINT (DATUM) FROM WHICH THE GEOGRAPHIC REFERENCING OF A MAP SERIES ORIGINATES. [REF: STANAG 2439, AINTP-3];1.0;In Service;03 Dec 07
