FUDN;Name;Size;Type;Explanation;Version;Status;Modified
1;WEIGHT IN KILOGRAMS;1-4;Integer;WEIGHT MEASURED IN KILOGRAMS.;1.0;In Service;03 Dec 07
2;MAXIMUM DECK LOAD CAPACITY IN KILOGRAMS;1-5;Integer;THE MAXIMUM LOAD WHICH COULD BE ADMITTED ON THE DECK.;1.0;In Service;03 Dec 07
3;NET EXPLOSIVE QUANTITY;1-5;Integer;THE NET QUANTITY OF THE CARGO THAT IS EXPLOSIVE, MEASURED IN KILOGRAMS.;1.0;In Service;03 Dec 07
4;WEIGHT OF PERSON IN KILOGRAMS;1-3;Integer;;1.0;In Service;03 Dec 07
6;TOTAL WEIGHT OF ORDNANCE IN KILOGRAMS;1-5;Integer;;1.0;In Service;03 Dec 07
7;WEIGHT OF FILLING IN KILOGRAMS;1-5;Integer;;1.0;In Service;03 Dec 07
10;AVERAGE BAGGAGE WEIGHT PER PERSON IN KILOGRAMS;1-3;Integer;;1.0;In Service;03 Dec 07
11;ESTIMATED WEIGHT OF PART IN KILOGRAMS;1-4;Integer;;1.0;In Service;03 Dec 07
12;WEIGHT OF INTERNAL STORES IN KILOGRAMS;1-5;Integer;THE WEIGHT OF INTERNAL STORES MEASURED IN KILOGRAMS.;1.0;In Service;03 Dec 07
13;WEIGHT OF EXTERNAL STORES IN KILOGRAMS;1-5;Integer;THE WEIGHT OF EXTERNAL STORES MEASURED IN KILOGRAMS.;1.0;In Service;03 Dec 07
