Structure;1-5;1-1;1-5;1-1;1-5;1-1;3-5;1-1;1-1;;;
FFIRN/FUDN;1615/1;1025/2;1615/2;1025/2;1615/3;1025/2;1008/101;1025/2;1266/2;;;
FUD Name;MATERIAL STRENGTH;HYPHEN;MATERIAL STRENGTH, ESTIMATED;HYPHEN;MATERIAL STRENGTH, MAX;HYPHEN;STRENGTH UNIT OF MEASUREMENT;HYPHEN;VALIDITY;;;
