Structure;1-1;3-3;1-1;4-4
FFIRN/FUDN;1246/7;1214/1;1025/2;1005/7
FUD Name;NATO EXERCISE ALPHABETIC IDENTIFIER;NATO SUBMARINE DEPLOYMENT DESIGNATOR;HYPHEN;YEAR
