Structure;3-5;1-1;1-1;1-4;3-3;;;
FFIRN/FUDN;1023/32;1024/2;1025/2;1023/39;1008/81;;;
FUD Name;CONTEXT QUANTITY, DECIMAL PT FOR TENTH PERM, 5 CHAR MAX;ANGULAR MEASUREMENT REFERENCE, TRUE;HYPHEN;CONTEXT QUANTITY, 0 TO 9999, 0-1 DECIMAL PT PERMITTED;UNIT OF SPEED MEASUREMENT, KNOTS;;;
