Structure;1-1;2-2;4-4;1-1
FFIRN/FUDN;1431/1;1432/1;1430/1;1429/1
FUD Name;SCL NATION SERVICE IDENTIFICATION CODE;SCL AIRCRAFT CODE;SCL CONFIGURATION CODE;SCL SPECIALIZED EQUIPMENT CODE
