FUDN;Name;Size;Type;Explanation;Version;Status;Modified
1;WEAPON TYPE, GENERIC;1-30;Instructive;THE CODE THAT CAN BE USED TO IDENTIFY A WEAPON. THIS TABLE SHOULD ONLY BE USED WHERE THERE IS NO SUITABLE WEAPON AVAILABLE IN AN ALTERNATIVE PICK LIST.;1.0;In Service;03 Dec 07
2;SURFACE-TO-AIR WEAPON SYSTEM;3-9;Individual;THE CODE FOR THE ORDNANCE TYPE DESIGNED TO BE FIRED FROM THE SURFACE TO OPERATE AGAINST AN AIRBORNE TARGET ABOVE THE SURFACE.;1.0;In Service;03 Dec 07
3;WEAPON TYPE, SURFACE-TO-AIR;3-6;Individual;;1.0;In Service;03 Dec 07
5;ORDNANCE WEAPON TYPE, SURFACE-TO-AIR;2-6;Individual;THE CODE FOR THE ORDNANCE TYPE DESIGNED TO BE FIRED FROM THE SURFACE TO OPERATE AGAINST AN AIRBORNE TARGET ABOVE THE SURFACE.;1.0;In Service;03 Dec 07
6;MISSILE TYPE;1-20;Instructive;SPECIFIES MISSILE TYPES WITHIN A WEAPON SYSTEM ENVIRONMENT.;1.0;In Service;03 Dec 07
7;ORDNANCE TYPE, MARITIME;3-10;Individual;;1.0;In Service;03 Dec 07
8;ENEMY WEAPONS;1-38;Instructive;THE IDENTITY OF THE ENEMY WEAPON, FOR EXAMPLE: "SSN9".;1.0;In Service;03 Dec 07
10;WEAPON SYSTEM;3-20;Instructive;;1.0;In Service;03 Dec 07
11;DEFENCE SYSTEM;3-3;Individual;;1.0;In Service;03 Dec 07
12;WEAPON TYPE, SHORT RANGE AIR DEFENCE SYSTEM;3-6;Individual;;1.0;In Service;03 Dec 07
13;ORDNANCE TYPE;2-3;Individual;;1.0;In Service;03 Dec 07
14;ORDNANCE WEAPON TYPE;3-8;Individual;;1.0;In Service;03 Dec 07
15;WEAPON TYPE, GENERIC (WITHOUT BLANKS);1-30;Instructive;;1.0;In Service;03 Dec 07
16;FIRE UNIT WEAPON TYPE;4-5;Individual;THE TYPE SURFACE-TO-SURFACE FIRE SUPPORT WEAPON.;1.0;In Service;03 Dec 07
18;MIX OF WEAPONS;1-30;Instructive;;1.0;In Service;03 Dec 07
19;MISSILE ORDER;1-30;Instructive;;1.0;In Service;03 Dec 07
20;WEAPON SYSTEM, CATEGORY;3-8;Individual;;1.0;In Service;03 Dec 07
21;WEAPON SYSTEM ASUW;3-7;Individual;ASUW = ANTI-SURFACE WARFARE.;1.0;In Service;03 Dec 07
23;BOMBARDMENT SOURCE, WEAPON;3-6;Individual;;1.0;In Service;03 Dec 07
24;SURFACE-TO-AIR WEAPON SYSTEM TYPE, OTHER;1-20;Instructive;THE TYPE OF SURFACE TO AIR WEAPON.;1.0;In Service;03 Dec 07
25;ORDNANCE WEAPON TYPE, ANTI-SUBSURFACE;2-8;Individual;THE ORDNANCE / WEAPON TYPE FOR ANTI-SUBSURFACE.;1.0;In Service;03 Dec 07
26;AMMUNITION RESTRICTED;2-2;Individual;;1.0;In Service;03 Dec 07
27;MISSILE TYPE, ABBREVIATED;1-1;Individual;THE ABBREVIATED CODE TO INDICATE THE TYPE OF CRUISE MISSILE.;1.0;In Service;03 Dec 07
28;CHAFF FLARE TYPE;4-5;Individual;THE TYPE OF CHAFF AND FLARE.;1.0;In Service;03 Dec 07
29;MUNITIONS TYPE, GENERIC;3-4;Individual;;1.0;In Service;03 Dec 07
30;EXPLOSIVE TYPE;1-15;Instructive;;1.0;In Service;03 Dec 07
31;ORDNANCE WEAPON TYPE, AIR-TO-AIR;3-6;Individual;THE CODE FOR THE ORDNANCE/WEAPON TYPE DESIGNED TO BE FIRED OR RELEASED FROM AN AIRBORNE CARRIER AT AN AIRBORNE TARGET.;1.0;In Service;03 Dec 07
32;ORDNANCE WEAPON TYPE AIR-TO-SURFACE;3-8;Individual;THE CODE FOR THE ORDNANCE/WEAPON TYPE DESIGNED TO BE FIRED OR RELEASED FROM AN AIRBORNE CARRIER TO IMPACT ON THE SURFACE OR A GROUND TARGET.;1.0;In Service;03 Dec 07
33;AREA WEAPON CONTROL SAW;1-68;Instructive;THE DETAILS OF THE TACTICAL CONTROL REQUIRED FOR ANY SURFACE-TO-AIR WEAPONS (SAW) UNIT.;1.0;In Service;03 Dec 07
34;ANTI-AIR WARFARE (AAW) WEAPON CATEGORY;3-6;Individual;A CATEGORY DESCRIPTION FOR MARITIME WEAPONS CAPABLE OF BEING USED IN THE ANTI-AIR WARFARE ROLE.;1.0;In Service;03 Dec 07
35;ANTI-SUBMARINE WARFARE (ASW) WEAPON CATEGORY;3-8;Individual;A CATEGORY DESCRIPTION FOR MARITIME WEAPONS CAPABLE OF BEING USED IN THE ANTI-SUBMARINE WARFARE ROLE.;1.0;In Service;03 Dec 07
36;ANTI-SURFACE WARFARE (ASUW) WEAPON CATEGORY;3-6;Individual;A CATEGORY DESCRIPTION FOR MARITIME WEAPONS CAPABLE OF BEING USED IN THE ANTI-SURFACE WARFARE ROLE.;1.0;In Service;03 Dec 07
37;THREAT MISSILE, SPECIFIC;3-18;Individual;A SPECIFIC MODEL OR TYPE OF ANTI-SHIP MISSILE WHICH MAY BE CONSIDERED A POTENTIAL THREAT TO OWN AND/OR FRIENDLY FORCES.;1.0;In Service;03 Dec 07
38;THREAT MISSILE, GENERIC;3-25;Instructive;A LITERAL NAME OR DESIGNATOR FOR ANY MODEL OR TYPE OF ANTI-SHIP MISSILE CONSIDERED A POTENTIAL THREAT TO OWN AND/OR FRIENDLY FORCES BUT WHICH IS NOT LISTED UNDER FUD 'THREAT MISSILE, SPECIFIC'.;1.0;In Service;03 Dec 07
41;GUN TYPE;1-68;Instructive;;1.0;In Service;03 Dec 07
42;ROCKET PROJECTILE TYPE;1-68;Instructive;;1.0;In Service;03 Dec 07
43;WARHEAD TYPE;1-68;Instructive;;1.0;In Service;03 Dec 07
44;PYROTECHNICS TYPE;1-68;Instructive;;1.0;In Service;03 Dec 07
45;AIRCRAFT MISSILE TYPE;1-30;Instructive;SPECIFIES MISSILE TYPES WITHIN A WEAPON SYSTEM ENVIRONMENT.;1.0;In Service;03 Dec 07
47;ASW HELICOPTER WEAPON TYPE;2-7;Individual;GENERIC WEAPON TYPES THAT CAN BE LOADED ONTO A HELICOPTER FOR AN ASW MISSION.;1.0;In Service;03 Dec 07
48;WEAPON TYPE EXPENDED;1-10;Instructive;THE TYPE OF ORDNANCE OR WEAPON EXPENDED ON TASKED TARGET.;1.0;In Service;03 Dec 07
49;ENEMY WEAPONS EMPLOYED;1-10;Instructive;;1.0;In Service;03 Dec 07
50;ORDNANCE WEAPON TYPE, GENERIC;1-25;Instructive;;1.0;In Service;03 Dec 07
51;MARITIME GUNNERY SYSTEMS;4-15;Individual;A LIST OF GUNNERY SYSTEMS FOR USE WITH MARITIME MESSAGES.;1.0;In Service;03 Dec 07
53;MARITIME UNDERWATER SYSTEMS;2-12;Individual;A LIST OF UNDERWATER WEAPON SYSTEMS FOR USE WITH MARITIME MESSAGES.;1.0;In Service;03 Dec 07
54;MARITIME WEAPON SYSTEMS;2-18;Individual;A LIST OF MARITIME WEAPON SYSTEMS FOR USE WITH MARITIME MESSAGES. THIS TABLE IS A COMBINATION OF GUNNERY, UNDERWATER, AND ABOVE WATER WEAPONS.;1.0;In Service;03 Dec 07
55;MARITIME ABOVE WATER WEAPON SYSTEMS;3-18;Individual;A LIST OF ABOVE WATER WEAPON SYSTEMS FOR USE WITH MARITIME MESSAGES.;1.0;In Service;03 Dec 07
