Structure;1-1;2-5;1-2;
FFIRN/FUDN;1246/7;1166/3;1044/76;
FUD Name;NATO EXERCISE ALPHABETIC IDENTIFIER;NAVAL VESSEL TYPE;NUMBER OF SHIPS;
