Structure;2-3;2-6;;
FFIRN/FUDN;1352/1;1407/5;;
FUD Name;RELATIVE INTENSITY OF HOSTILE SURFACE-TO-AIR FIRE;ORDNANCE WEAPON TYPE, SURFACE-TO-AIR;;
