Structure;2-2;2-2;1-2;
FFIRN/FUDN;1026/33;1420/1;1246/3;
FUD Name;NATIONALITY OF BROADCAST, TWO LETTER CODE;BROADCAST CHARACTERISTIC;BROADCAST GEOGRAPHICAL AREA;
