Structure;1-3;1-1;1-3;2-3
FFIRN/FUDN;1023/3;1025/2;1023/3;1008/2
FUD Name;CONTEXT QUANTITY, 1-999;HYPHEN;CONTEXT QUANTITY, 1-999;UNIT OF ELECTROMAGNETIC EMISSION MEASUREMENT
