Structure;1-3;1-1;1-3;1-1;1-1;1-2;1-1;
FFIRN/FUDN;1012/148;1025/2;1023/3;1008/84;1025/2;1023/30;1008/84;
FUD Name;STATION NUMBER, NUMERIC;HYPHEN;CONTEXT QUANTITY, 1-999;UNIT OF LINEAR MEASUREMENT, METRES;HYPHEN;CONTEXT QUANTITY, 1-99;UNIT OF LINEAR MEASUREMENT, METRES;
