FUDN;Name;Size;Type;Explanation;Version;Status;Modified
1;PREPLANNED PRIORITY;1-1;Individual;;1.0;In Service;03 Dec 07
2;MISSION PRIORITY;1-1;Individual;;1.0;In Service;03 Dec 07
3;MINEFIELD PRIORITY;1-1;Individual;;1.0;In Service;03 Dec 07
4;TASK PRIORITY;1-1;Individual;;1.0;In Service;03 Dec 07
5;REQUEST PRIORITY;1-1;Individual;THE PRIORITY THE ORIGINATOR DESIRES FOR THE INTELLIGENCE REQUEST.;1.0;In Service;03 Dec 07
6;TARGET PRIORITY;1-1;Individual;A NUMBER USED TO SPECIFY THE RELATIVE IMPORTANCE OF A TARGET IN A SCHEDULE. REFERENCES: - AD 80-70; - NRD 80-93 (NORTHERN REGION DIRECTIVE).;1.0;In Service;03 Dec 07
7;MEDICAL EVACUATION PRIORITY;1-1;Individual;;1.0;In Service;03 Dec 07
8;TARGET PRIORITY IDENTIFIER;1-1;Individual;A DESIGNATOR THAT CLASSIFIES TARGETS AS PRIMARY, SECONDARY OR ALTERNATE.;1.0;In Service;03 Dec 07
9;REVISED PRIORITY, NUMBER;1-1;Individual;THE NUMBER FOR THE PRIORITY ASSIGNED TO THE MISSION BY THE JOINT FORCE COMMANDER IN ORDER TO ESTABLISH THE RELATIVE IMPORTANCE WITHIN THE CONTEXT OF ALL THE MISSIONS BEING FLOWN BY THE JOINT TASK FORCE.;1.0;In Service;03 Dec 07
10;MISSION PRIORITY IDENTIFIER;3-3;Individual;THE CODE FOR THE PRIORITY OF AN AIRLIFT MISSION.;1.0;In Service;03 Dec 07
11;TARGET PRIORITY, LITERAL;1-5;Instructive;THE URGENCY ASSIGNED TO A TARGET.;1.0;In Service;03 Dec 07
12;MISSION PRIORITY, LITERAL;1-3;Instructive;THE URGENCY ASSIGNED TO A MISSION.;1.0;In Service;03 Dec 07
13;PRIMARY ALTERNATE TARGET DESIGNATOR;1-1;Individual;A DESIGNATOR THAT CLASSIFIES TARGETS AS PRIMARY OR ALTERNATE.;1.0;In Service;03 Dec 07
15;MOVEMENT PRIORITY;5-7;Individual;THE INDICATOR OF THE RELATIVE IMPORTANCE OF A MOVEMENT.;1.0;In Service;03 Dec 07
16;PRIORITY OF MOVE ON ROUTE;5-7;Individual;INDICATES THE ASSIGNED PRIORITY OF A MOVE ON THE MARCH ROUTE;1.0;In Service;03 Dec 07
17;COMPOUND COMMAND PRIORITY;2-2;Alphanumeric;THE COMPOUND COMMAND PRIORITY ASSIGNED TO AN ASSET, ON A SCALE FROM 1A, 1B TO 4D.;1.0;In Service;03 Dec 07
18;MOVEMENT EXECUTION PRIORITY;1-1;Individual;THE PRIORITY OF THE RAIL MOVEMENT.;1.0;In Service;03 Dec 07
19;RECUPERATION REPAIR PRIORITY;1-1;Individual;THE PRIORITY WHICH THE ANALYST ASSESSES AN ENEMY WOULD GIVE TO THE REPAIR OF THE TARGET;1.0;In Service;03 Dec 07
20;PRIORITY IDENTIFIER;2-2;Integer;PROVIDES THE SEQUENTIAL PRIORITY NUMBER WHICH OUTLINES THE IMPORTANCE OF THE MISSION USING A TWO-DIGIT CODE AND WHERE "01" IS THE HIGHEST PRIORITY.;1.0;In Service;03 Dec 07
21;DEFENDED ASSET PRIORITY;1-3;Integer;THE PRIORITY GIVEN TO THE DEFENDED ASSET, AS SET BY THE JDAWG.;1.0;In Service;03 Dec 07
