Structure;2-2;2-7;1-1;1-1;3-3;2-7;1-1;
FFIRN/FUDN;1039/1;1041/4;1030/2;1025/2;1040/1;1041/5;1030/3;
FUD Name;LATITUDE, DEGREES;LATITUDE, MINUTES, 0-4 DECIMAL PLACES;LATITUDINAL HEMISPHERE;HYPHEN;LONGITUDE, DEGREES;LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;LONGITUDINAL HEMISPHERE;
