FUDN;Name;Size;Type;Explanation;Version;Status;Modified
1;FREQUENCY IN MEGAHERTZ;1-16;Decimal;;1.0;In Service;03 Dec 07
2;TRANSMIT FREQUENCY BAND CODE;1-1;Individual;;1.0;In Service;03 Dec 07
3;PRIMARY FREQUENCY IN MEGAHERTZ;2-8;Instructive;;1.0;In Service;03 Dec 07
4;SECONDARY FREQUENCY IN MEGAHERTZ;2-8;Instructive;;1.0;In Service;03 Dec 07
5;LOWER FREQUENCY LIMIT IN MEGAHERTZ;1-8;Instructive;;1.0;In Service;03 Dec 07
6;UPPER FREQUENCY LIMIT IN MEGAHERTZ;1-8;Instructive;;1.0;In Service;03 Dec 07
7;OPTIMUM FREQUENCY IN MEGAHERTZ;1-16;Decimal;;1.0;In Service;03 Dec 07
8;SPARE FREQUENCY IN MEGAHERTZ;1-16;Decimal;;1.0;In Service;03 Dec 07
9;ZONE AID PRIMARY FREQUENCY IN MEGAHERTZ;1-16;Decimal;THE PRIMARY FREQUENCY USED BY THE ZONE AID.;1.0;In Service;03 Dec 07
10;LANDING SITE SECONDARY FREQUENCY IN MEGAHERTZ;1-16;Decimal;THE SECONDARY FREQUENCY USED TO CONTACT A LANDING SITE.;1.0;In Service;03 Dec 07
11;GUIDANCE FREQUENCY IN MEGAHERTZ;1-16;Decimal;THE FREQUENCY USED FOR IN-FLIGHT/TERMINAL GUIDANCE OF PRECISION MUNITIONS.;1.0;In Service;03 Dec 07
12;LANDING SITE PRIMARY FREQUENCY IN MEGAHERTZ;1-16;Decimal;THE PRIMARY FREQUENCY USED TO CONTACT A LANDING SITE.;1.0;In Service;03 Dec 07
13;PRIMARY FREQUENCY IN MEGAHERTZ, .0000001 - 99999999;1-16;Decimal;THE PRIMARY FREQUENCY TO BE USED BY AN AIRCRAFT, AGENCY, OR NET.;1.0;In Service;03 Dec 07
14;SECONDARY FREQUENCY IN MEGAHERTZ, .0000001 - 99999999;1-16;Decimal;THE SECONDARY FREQUENCY TO BE USED BY AN AIRCRAFT, AGENCY OR NET.;1.0;In Service;03 Dec 07
15;FREQUENCY IN MHZ, 000.1 TO 999.9;3-5;Instructive;A FREQUENCY IN THE RANGE 000.1 TO 999.9 MEGAHERTZ.;1.0;In Service;03 Dec 07
17;RECEIVER FREQUENCY IN MHZ 000.1 TO 999.9;3-5;Instructive;THE RECEIVING FREQUENCY IN MEGAHERTZ.;1.0;In Service;03 Dec 07
18;TRANSMITTER FREQUENCY IN MHZ 000.1 TO 999.9;3-5;Instructive;THE TRANSMIT FREQUENCY IN MEGAHERTZ.;1.0;In Service;03 Dec 07
19;ALTERNATIVE FREQUENCY IN MEGAHERTZ, .0000001 - 99999999;1-16;Decimal;THE ALTERNATIVE FREQUENCY TO BE USED BY AN AIRCRAFT, AGENCY OR NET.;1.0;In Service;03 Dec 07
21;LINK IV RADIO FREQUENCY IN MHZ;5-7;Decimal;THE LINK IV RADIO FREQUENCY FOR LINK IV OPERATIONS.;1.0;In Service;03 Dec 07
