Structure;1-5;1-1;1-5;1-1;1-5;1-2;;
FFIRN/FUDN;1023/19;1025/7;1023/19;1025/7;1023/19;1008/22;;
FUD Name;CONTEXT QUANTITY, 0-4 DECIMAL PT PERMITTED;DISTANCE DELIMITER;CONTEXT QUANTITY, 0-4 DECIMAL PT PERMITTED;DISTANCE DELIMITER;CONTEXT QUANTITY, 0-4 DECIMAL PT PERMITTED;UNIT OF LINEAR MEASUREMENT, AIR CARGO;;
