Structure;1-1;2-2;4-4;
FFIRN/FUDN;1403/1;1404/1;1012/36;
FUD Name;TARGET SYSTEM IDENTIFIER;TARGET ORIGINATOR AND TARGET CLASSIFICATION;NUMERICAL TARGET DESIGNATOR;
