Structure;1-5;1-1;;
FFIRN/FUDN;1023/19;1008/84;;
FUD Name;CONTEXT QUANTITY, 0-4 DECIMAL PT PERMITTED;UNIT OF LINEAR MEASUREMENT, METRES;;
