FUDN;Name;Size;Type;Explanation;Version;Status;Modified
2;ADDITIONAL LINK MANAGEMENT CODE;1-15;Instructive;THE ADDITIONAL LINK MANAGEMENT CODES NOT PREVIOUSLY USED IN THE MESSAGE.;1.0;In Service;03 Dec 07
3;CODE MEANING;1-50;Instructive;THE MEANING OF THE ADDITIONAL LINK MANAGEMENT CODES;1.0;In Service;03 Dec 07
5;GROUPING;1-68;Instructive;A PRE-DETERMINED CODE UPON DECLARATION OF WHICH A ROAD MOVEMENT IS EXECUTED.;1.0;In Service;03 Dec 07
6;PRECAUTIONARY MEASURE;1-68;Instructive;A PRE-DETERMINED CODE OF THE NATO PRECAUTIONARY SYSTEM UPON DECLARATION OF WHICH A ROAD MOVEMENT IS EXECUTED.;1.0;In Service;03 Dec 07
