Structure;1-4;1-1;3-5;1-1;1-25;;;
FFIRN/FUDN;1482/1;1025/2;1483/1;1025/2;1022/26;;;
FUD Name;AIRCREW POSITION;HYPHEN;MILITARY RANK OR RATE AND RATING;HYPHEN;SURNAME OF A PERSON;;;
