Structure;1-1;1-1;2-2;2-2
FFIRN/FUDN;1258/5;1801/1;1001/1;1002/1
FUD Name;RELATIVE TIME INDICATOR;POSITIVE OR NEGATIVE INDICATOR;HOUR (TIME);MINUTE (TIME)
