Structure;1-4;3-3;;
FFIRN/FUDN;1023/18;1008/95;;
FUD Name;CONTEXT QUANTITY, 0-3 DECIMAL PT PERMITTED;UNIT OF SPEED MEASUREMENT, MPH, KPH, KTS, MPS OR FPS;;
