Structure;1-5;1-2;;
FFIRN/FUDN;1023/44;1008/8;;
FUD Name;CONTEXT QUANTITY, 1-99999;UNIT OF LINEAR MEASUREMENT, FT, KF, YD, SM, NM, M, HM, KM;;
