Structure;1-1;7-7;7-7;
FFIRN/FUDN;1030/2;1710/8;1710/9;
FUD Name;LATITUDINAL HEMISPHERE;UPS 1 METRE HIGHER ORDER X;UPS 1 METRE HIGHER ORDER Y;
