Structure;1-3;3-3;;
FFIRN/FUDN;1023/20;1008/17;;
FUD Name;CONTEXT QUANTITY, DECIMAL PT PERMITTED, 3 CHAR MAX;UNIT OF ANGULAR SPEED VELOCITY MEASUREMENT, RPM;;
