Structure;1-2;1-1;1-5;1-1;1-2;1-1;1-1;
FFIRN/FUDN;1044/379;1025/2;1655/1;1025/2;1008/105;1025/2;1266/2;
FUD Name;SPAN QUANTITY;HYPHEN;SPAN LENGTH;HYPHEN;UNIT OF LINEAR MEASUREMENT, M, FT, KM, SM;HYPHEN;VALIDITY;
