Structure;2-2;1-2;;
FFIRN/FUDN;1023/46;1008/8;;
FUD Name;CONTEXT QUANTITY, 01-99;UNIT OF LINEAR MEASUREMENT, FT, KF, YD, SM, NM, M, HM, KM;;
