FUDN;Name;Size;Type;Explanation;Version;Status;Modified
1;COLOUR;3-6;Individual;;1.0;In Service;03 Dec 07
2;HULL COLOUR;3-6;Individual;THE COLOUR OF THE HULL OF A PLEASURE CRAFT.;1.0;In Service;03 Dec 07
3;PLUME COLOUR AT LAUNCH;3-6;Individual;THE COLOUR OF A SURFACE-TO-AIR MISSILE'S PLUME AT LAUNCH.;1.0;In Service;03 Dec 07
4;MUZZLE FLASH COLOUR;3-6;Individual;THE COLOR OF ANTI-AIRCRAFT ARTILLERY'S MUZZLE FLASH.;1.0;In Service;03 Dec 07
5;LINK STATUS;3-6;Individual;;1.0;In Service;03 Dec 07
6;EXERCISE MINE FLARE COLOUR;3-6;Individual;;1.0;In Service;03 Dec 07
7;BODY COLOUR;3-6;Individual;THE COLOUR OF THE MAIN SECTION OF A VEHICLE.;1.0;In Service;03 Dec 07
8;MINE ZONE COLOUR CODE;3-6;Individual;THE COLOUR CODE DESIGNATED TO REPRESENT THE STATUS OF MINED CHANNELS. ;1.0;In Service;03 Dec 07
9;PREDICTED MINE ZONE COLOUR CODE;3-6;Individual;;1.0;In Service;03 Dec 07
10;RECOGNITION SIGNAL COLOUR;3-6;Individual;;1.0;In Service;03 Dec 07
11;COLOUR OF EYES;3-6;Individual;THE COLOUR OF THE EYES OF AN INDIVIDUAL.;1.0;In Service;03 Dec 07
12;COLOUR OF HAIR;3-6;Individual;THE PREDOMINANT HAIR COLOUR OF AN INDIVIDUAL.;1.0;In Service;03 Dec 07
13;PLUME COLOUR IN FLIGHT;3-6;Individual;THE COLOUR OF A SURFACE-TO-AIR MISSILE'S PLUME IN FLIGHT.;1.0;In Service;03 Dec 07
14;TRACER COLOUR;3-6;Individual;THE COLOR OF ANTI-AIRCRAFT ARTILLERY TRACERS DURING ENGAGEMENT.;1.0;In Service;03 Dec 07
15;AIRBURST COLOUR;3-6;Individual;THE COLOR OF ORDNANCE AIRBURST AT DETONATION.;1.0;In Service;03 Dec 07
