FUDN;Name;Size;Type;Explanation;Version;Status;Modified
1;DISTANCE IN METRES;1-4;Integer;;1.0;In Service;03 Dec 07
2;RANGE PROBABLE ERROR IN METRES;1-3;Integer;;1.0;In Service;03 Dec 07
3;DISTANCE BETWEEN LEADING EDGE AND IMPACT POINT IN METRES;1-5;Integer;THE DISTANCE FROM THE LEADING EDGE OF A DROP ZONE TO THE POINT OF IMPACT.;1.0;In Service;03 Dec 07
4;LOCATION ACCURACY IN METRES;1-3;Integer;;1.0;In Service;03 Dec 07
5;DISTANCE IN METRES FROM OBSERVER TO HOSTILE BATTERY;1-5;Integer;;1.0;In Service;03 Dec 07
6;DEPTH (FRONT TO BACK) IN METRES;1-4;Integer;;1.0;In Service;03 Dec 07
7;LENGTH OF BRIDGE IN METRES;1-4;Integer;;1.0;In Service;03 Dec 07
12;REPORT ACCURACY IN METRES;1-3;Integer;;1.0;In Service;03 Dec 07
13;VEHICLE GROUND CLEARANCE IN METRES;1-4;Decimal;;1.0;In Service;03 Dec 07
14;VEHICLE LONGITUDINAL WHEEL BASE IN METRES;1-5;Decimal;;1.0;In Service;03 Dec 07
16;DISTANCE IN METRES BETWEEN OBSERVER AND OBJECT;1-3;Integer;;1.0;In Service;03 Dec 07
17;VEHICLE DISTANCE IN METRES, AUTOBAHN FREEWAY;1-4;Integer;GIVES THE SEPERATION DISTANCE IN METRES TO BE MAINTAINED BETWEEN VEHICLES TRAVELLING ON AUTOBAHNEN OR FREEWAYS.;1.0;In Service;03 Dec 07
18;VEHICLE DISTANCE IN METRES, OTHER ROADS;1-4;Integer;GIVES THE SEPERATION DISTANCE IN METRES TO BE MAINTAINED BETWEEN VEHICLES TRAVELLING ON ROADS OTHER THAN AUTOBAHNEN OR FREEWAYS.;1.0;In Service;03 Dec 07
