Structure;1-4;1-1;1-1;1-4;1-1;;;
FFIRN/FUDN;1012/14;1130/17;1025/2;1012/14;1130/18;;;
FUD Name;TACAN CHANNEL;TANKER AIRCRAFT DATA QUALIFIER;HYPHEN;TACAN CHANNEL;RECEIVER AIRCRAFT DATA QUALIFIER;;;
