Structure;1-4;1-2;;
FFIRN/FUDN;1023/18;1008/80;;
FUD Name;CONTEXT QUANTITY, 0-3 DECIMAL PT PERMITTED;UNIT OF LINEAR MEASUREMENT, YD, M OR NAUTICAL MILES;;
