Structure;1-3;1-1;1-5;
FFIRN/FUDN;1012/184;1053/10;1089/2;
FUD Name;Q-ROUTE NUMBER;Q-ROUTE POINT DESIGNATOR;DISTANCE IN NAUTICAL MILES FROM START POINT;
