Structure;1-2;1-1;1-3;
FFIRN/FUDN;1417/1;1418/1;1052/16;
FUD Name;CLOCK POSITION;RELATIVE ALTITUDE POSITION INDICATOR;DISTANCE IN METRES BETWEEN OBSERVER AND OBJECT;
