FUDN;Name;Size;Type;Explanation;Version;Status;Modified
1;TIME PERIOD IN HOURS;1-6;Decimal;;1.0;In Service;03 Dec 07
2;FLIGHT TIME AVAILABLE;1-3;Integer;;1.0;In Service;03 Dec 07
3;FLIGHT TIME IN HOURS;1-7;Decimal;;1.0;In Service;03 Dec 07
4;NUMBER OF HOURS FLOWN;3-5;Decimal;;1.0;In Service;03 Dec 07
5;AIR CONTROLLER POSITION AVAILABILITY;1-2;Integer;THE NUMBER OF HOURS THAT AN AIR CONTROL POSITION IS BEING PROVIDED BY A UNIT;1.0;In Service;03 Dec 07
6;DURATION IN HOURS (00-99);2-2;Integer;;1.0;In Service;03 Dec 07
7;DURATION IN HOURS (00-23);2-2;Integer;;1.0;In Service;03 Dec 07
8;DURATION REQUIRED, HOURS;1-3;Integer;;1.0;In Service;03 Dec 07
9;ASSESSMENT PERIOD IN HOURS;2-2;Individual;;1.0;In Service;03 Dec 07
10;FLIGHT TIME IN HOURS AND TENTHS;4-4;Decimal;;1.0;In Service;03 Dec 07
11;TOW TIME OUT OF TRACK IN HOURS;3-3;Decimal;;1.0;In Service;03 Dec 07
12;OPERATING TOW TIME IN HOURS;4-4;Decimal;;1.0;In Service;03 Dec 07
13;TASK HOURS LOST DURING SORTIE HOURS;1-2;Integer;;1.0;In Service;03 Dec 07
14;HOURS IN REPORTING PERIOD;1-3;Integer;;1.0;In Service;03 Dec 07
15;HOURS SCHEDULED OFF-TASK;1-3;Integer;;1.0;In Service;03 Dec 07
16;ESTIMATED DIVING OPERATION DURATION IN HOURS;2-2;Integer;;1.0;In Service;03 Dec 07
17;WEATHER DOWN TIME IN HOURS;1-3;Integer;;1.0;In Service;03 Dec 07
18;MAINTENANCE DOWN TIME IN HOURS;1-3;Integer;;1.0;In Service;03 Dec 07
19;MAX PERIOD OF SUSTAINED FLIGHT DECK OPS IN HOURS;1-2;Integer;THE MAXIMUM PERIOD, IN HOURS, OF SUSTAINED FLIGHT DECK OPERATIONS OVER A 24-HOUR PERIOD.;1.0;In Service;03 Dec 07
20;EFFECTIVE TIME ON TASK IN THE LAP IN HOURS;3-5;Decimal;;1.0;In Service;03 Dec 07
21;ESTIMATED TIME TO REPAIR IN HOURS;2-2;Integer;;1.0;In Service;03 Dec 07
22;ESTIMATED TIME TO REPAIR AFTER RECEIPT OF PARTS IN HOURS;2-2;Integer;;1.0;In Service;03 Dec 07
23;NOTICE AND PREPARATION TIME IN HOURS;2-2;Integer;;1.0;In Service;03 Dec 07
24;MET PERIOD OF VALIDITY IN HOURS;1-1;Individual;;1.0;In Service;03 Dec 07
25;INTERVAL BETWEEN MET MESSAGES IN HOURS;1-1;Individual;;1.0;In Service;03 Dec 07
26;DURATION IN HOURS, 0-999;1-3;Integer;;1.0;In Service;03 Dec 07
27;HOURS REQUIRED FOR LOADING;1-6;Decimal;;1.0;In Service;03 Dec 07
29;HOURS REQUIRED FOR UNLOADING;1-3;Integer;;1.0;In Service;03 Dec 07
30;DURATION IN HOURS, 1-999;1-3;Integer;;1.0;In Service;03 Dec 07
