Structure;2-2;3-3;1-1;2-2;3-3;;;
FFIRN/FUDN;1130/4;1012/42;1025/2;1130/4;1012/42;;;
FUD Name;FLIGHT LEVEL DATA QUALIFIER;FLIGHT LEVEL NUMBER;HYPHEN;FLIGHT LEVEL DATA QUALIFIER;FLIGHT LEVEL NUMBER;;;
