Structure;1-1;2-2;1-2;
FFIRN/FUDN;1856/1;1420/1;1246/3;
FUD Name;BROADCAST AUTHORITY;BROADCAST CHARACTERISTIC;BROADCAST GEOGRAPHICAL AREA;
