Structure;2-2;2-2;2-2;2-2;1-1;3-3;2-2;2-2;2-2;1-1;;
FFIRN/FUDN;1039/1;1041/2;1042/2;1793/2;1030/2;1040/1;1041/3;1042/3;1793/3;1030/3;;
FUD Name;LATITUDE, DEGREES;LATITUDE MINUTE (ANGULAR);LATITUDE SECOND (ANGULAR);LATITUDE CENTISECOND (ANGULAR);LATITUDINAL HEMISPHERE;LONGITUDE, DEGREES;LONGITUDE MINUTE (ANGULAR);LONGITUDE SECOND (ANGULAR);LONGITUDE CENTISECOND (ANGULAR);LONGITUDINAL HEMISPHERE;;
