Structure;1-4;1-2;1-1;1-1
FFIRN/FUDN;1023/12;1008/83;1025/2;1161/2
FUD Name;CONTEXT QUANTITY, 1-9999;UNITS OF LINEAR MEASUREMENT, METRES OR YARDS;HYPHEN;CARDINAL POINT
