Structure;3-3;1-1;1-1;3-3;1-1;;;
FFIRN/FUDN;1255/1;1130/17;1025/2;1255/1;1130/18;;;
FUD Name;ALTITUDE IN HUNDREDS OF FEET;TANKER AIRCRAFT DATA QUALIFIER;HYPHEN;ALTITUDE IN HUNDREDS OF FEET;RECEIVER AIRCRAFT DATA QUALIFIER;;;
