Structure;2-2;1-3;1-2;
FFIRN/FUDN;1130/10;1218/2;1246/20;
FUD Name;Q-ROUTE LATERAL DISPLACEMENT QUALIFIER;DISTANCE IN YARDS FROM REFERENCE TRACK;MCM BUOY SEQUENTIAL NUMBER;
