Structure;6-7;3-3;1-1;1-4;1-2;;;
FFIRN/FUDN;1204/4;1552/1;1025/2;1023/12;1008/83;;;
FUD Name;EXPLODED MINE STATUS IDENTIFIER;RELATIVE BEARING IN DEGREES;HYPHEN;CONTEXT QUANTITY, 1-9999;UNITS OF LINEAR MEASUREMENT, METRES OR YARDS;;;
