Structure;1-5;2-2;1-1;
FFIRN/FUDN;1023/81;1008/82;1023/13;
FUD Name;CONTEXT QUANTITY, 0.1 TO 99999, 0-1 DECIMAL PT PERMITTED;UNITS OF LINEAR MEASUREMENT, NAUTICAL MILES;CONTEXT QUANTITY, 0-9;
