Structure;4-5;1-1;4-5;
FFIRN/FUDN;1625/2;1025/2;1625/3;
FUD Name;DATA LINK TRACK NUMBER BLOCK, LOWER LIMIT;HYPHEN;DATA LINK TRACK NUMBER BLOCK, UPPER LIMIT;
