FUDN;Name;Size;Type;Explanation;Version;Status;Modified
1;PERCENTAGE;1-4;Instructive;;1.0;In Service;03 Dec 07
2;PERCENTAGE OF MINEFIELD COMPLETED;1-3;Integer;;1.0;In Service;03 Dec 07
3;THREAT IN PERCENT;1-3;Integer;;1.0;In Service;03 Dec 07
4;DAMAGE REQUIRED IN PERCENT;1-7;Decimal;;1.0;In Service;03 Dec 07
5;PERCENTAGE OF TASK COMPLETED;2-2;Integer;;1.0;In Service;03 Dec 07
6;PERCENTAGE OF TOTAL CAPACITY HELD;1-3;Integer;;1.0;In Service;03 Dec 07
7;RELIABILITY;1-3;Integer;THE RELIABILITY IN PERCENT.;1.0;In Service;03 Dec 07
8;UNIT EFFECTIVENESS PERCENTAGE;1-3;Integer;;1.0;In Service;03 Dec 07
9;PERCENTAGE OF DAMAGE;1-3;Integer;;1.0;In Service;03 Dec 07
11;PROBABILITY OF DETECTION;1-3;Integer;;1.0;In Service;03 Dec 07
12;EVALUATION PERCENTAGE;1-7;Decimal;THE ONSTATION EVALUATION PERCENTAGE SCORE.;1.0;In Service;03 Dec 07
13;PERCENTAGE CONSUMED DAILY;1-2;Integer;;1.0;In Service;03 Dec 07
14;PERCENTAGE OF DIESEL REMAINING;2-2;Integer;;1.0;In Service;03 Dec 07
15;PERCENTAGE OF FRESH WATER REMAINING;2-2;Integer;;1.0;In Service;03 Dec 07
16;PERCENTAGE OF DEMINERALIZED WATER REMAINING;2-2;Integer;;1.0;In Service;03 Dec 07
17;PERCENTAGE OF HYDRAULIC OIL REMAINING;2-2;Integer;;1.0;In Service;03 Dec 07
18;PERCENTAGE OF WEAPONS;1-3;Integer;PERCENTAGE OF WEAPONS OR AMMUNITION RELATED TO THE OPERATIONAL STANDARD CAPACITY.;1.0;In Service;03 Dec 07
19;HELIUM PERCENTAGE;1-2;Integer;THE PERCENTAGE OF HELIUM IN THE GAS MIXTURE.;1.0;In Service;03 Dec 07
20;PERCENTAGE OF MINE BURIED;1-3;Integer;PERCENTAGE OF MINE THAT IS BURIED.;1.0;In Service;03 Dec 07
21;REMAINING WATER IN PERCENT;2-2;Integer;;1.0;In Service;03 Dec 07
22;REMAINING PROVISIONS IN PERCENT;2-2;Integer;;1.0;In Service;03 Dec 07
23;REMAINING LUBE OIL IN PERCENT;2-2;Integer;;1.0;In Service;03 Dec 07
24;REMAINING AMMUNITION IN PERCENT;2-2;Integer;;1.0;In Service;03 Dec 07
25;REMAINING FUEL OIL IN PERCENT;2-2;Integer;;1.0;In Service;03 Dec 07
26;PERCENTAGE CLEARANCE REQUIRED OR ACHIEVED;4-4;Decimal;;1.0;In Service;03 Dec 07
27;SWEEP OR DETECTION PROBABILITY;4-4;Decimal;;1.0;In Service;03 Dec 07
29;MMOE SIMPLE INITIAL THREAT PROBABILITY;4-4;Decimal;THE PLANNED OR ESTIMATED PROBABILITY THAT THE FIRST TARGET SHIP TO ENTER THE MINEFIELD WILL BE A CASUALTY. MMOE: MINE MEASURE OF EFFECTIVENESS;1.0;In Service;03 Dec 07
30;MMOE SUSTAINED THREAT PROBABILITY;4-4;Decimal;THE CONSTANT THREAT PROBABILITY PLANNED OR ESTIMATED FOR THE NUMBER OF DAYS. MMOE: MINE MEASURE OF EFFECTIVENESS;1.0;In Service;03 Dec 07
32;NITROGEN PERCENTAGE;1-2;Integer;THE PERCENTAGE OF NITROGEN IN THE GAS MIXTURE IF NOT AIR.;1.0;In Service;03 Dec 07
33;OXYGEN PERCENTAGE;1-3;Integer;THE PERCENTAGE OF OXYGEN IN THE GAS MIXTURE IF NOT AIR.;1.0;In Service;03 Dec 07
34;FREQUENCY SEPARATION IN PERCENTAGE;1-2;Integer;THE FREQUENCY SEPARATION EXPRESSED AS A PERCENTAGE OF FREQUENCY COVERAGE.;1.0;In Service;03 Dec 07
35;EFFECTS REQUIRED;1-2;Integer;AN INDEX OF THE LEVEL OF EFFECTS (PERCENT DAMAGE) REQUIRED TO DEFEAT A TARGET.;1.0;In Service;03 Dec 07
36;MAXIMUM VERTICAL GRADIENT;1-4;Decimal;;1.0;In Service;03 Dec 07
37;PERCENTAGE OF JAMMING EFFECTIVENESS;1-3;Integer;;1.0;In Service;03 Dec 07
38;ITEM PERCENT IMPORTED;1-3;Integer;PERCENTAGE OF FACILITY'S PRODUCT OR SERVICE THAT IS IMPORTED FROM FOREIGN COUNTRIES.;1.0;In Service;03 Dec 07
39;PERCENTAGE OF FOREIGN TECHNOLOGY;1-3;Integer;INDICATES, AS A PERCENTAGE, THE EXTENT TO WHICH A PRODUCTION FACILITY IS DEPENDENT ON FOREIGN TECHNOLOGY.;1.0;In Service;03 Dec 07
40;PERCENTAGE OF MISSION SUPPORT KITS ON HAND;1-3;Integer;;1.0;In Service;03 Dec 07
