Structure;1-30;1-1;1-5;
FFIRN/FUDN;1407/15;1025/4;1023/4;
FUD Name;WEAPON TYPE, GENERIC (WITHOUT BLANKS);BLANK SPACE CHARACTER;CONTEXT QUANTITY, 0-99999;
