Structure;1-3;1-1;1-3;
FFIRN/FUDN;1044/233;1025/2;1044/234;
FUD Name;NUMBER OF TRANSMITTING CHANNELS;HYPHEN;NUMBER OF RECEIVING CHANNELS;
