Structure;3-3;1-2;;
FFIRN/FUDN;1023/45;1008/8;;
FUD Name;CONTEXT QUANTITY, 001-999;UNIT OF LINEAR MEASUREMENT, FT, KF, YD, SM, NM, M, HM, KM;;
