Structure;2-2;1-1;2-2;
FFIRN/FUDN;1012/77;1025/2;1012/77;
FUD Name;SONOBUOY CHANNEL IDENTIFICATION NUMBER;HYPHEN;SONOBUOY CHANNEL IDENTIFICATION NUMBER;
