FUDN;Name;Size;Type;Explanation;Version;Status;Modified
1;DEPTH IN METRES;1-5;Decimal;;1.0;In Service;03 Dec 07
2;NAVIGATION LIMIT;2-3;Individual;;1.0;In Service;03 Dec 07
3;WATER DEPTH IN METRES;1-3;Integer;;1.0;In Service;03 Dec 07
4;OBSTACLE DEPTH IN METRES;1-2;Integer;TO PROVIDE THE DEPTH OF AN OBSTACLE SUCH AS ANTI-TANK DITCHS.;1.0;In Service;03 Dec 07
5;SHIP DRAFT IN METRES;1-2;Integer;;1.0;In Service;03 Dec 07
6;DEPTH IN METRES, 1-999;1-3;Integer;;1.0;In Service;03 Dec 07
7;DEPTH BELOW SURFACE IN METRES;1-4;Integer;NONE;1.0;In Service;03 Dec 07
8;AVERAGE DEPTH IN METRES;1-3;Integer;;1.0;In Service;03 Dec 07
9;SWEPT DEPTH METRES;1-3;Integer;;1.0;In Service;03 Dec 07
10;DEPTH OF PENETRATION OF ARM THRUSTS IN CENTIMETRES;1-2;Integer;NONE;1.0;In Service;03 Dec 07
11;DEPTH OF BEACH IN METRES, 10-9999;2-4;Integer;THE DEPTH OF A BEACH EXPRESSED IN METRES.;1.0;In Service;03 Dec 07
12;THERMAL LAYER DEPTH IN METRES;1-4;Integer;;1.0;In Service;03 Dec 07
