Structure;2-2;2-2;2-2;2-2
FFIRN/FUDN;1031/1;1032/1;1033/1;1034/1
FUD Name;FIFTEEN DEGREE QUADRILATERAL, GEOREF;ONE DEGREE QUADRILATERAL, GEOREF;MINUTE EASTING, GEOREF;MINUTE NORTHING, GEOREF
