FUDN;Name;Size;Type;Explanation;Version;Status;Modified
2;UNIT OF ELECTROMAGNETIC EMISSION MEASUREMENT;2-3;Individual;;1.0;In Service;03 Dec 07
3;UNIT OF TIME MEASUREMENT;2-3;Individual;;1.0;In Service;03 Dec 07
4;UNIT OF LINEAR MEASUREMENT;1-2;Individual;;1.0;In Service;03 Dec 07
5;UNIT OF SPEED VELOCITY MEASUREMENT;3-3;Individual;;1.0;In Service;03 Dec 07
6;UNIT OF POWER MEASUREMENT;1-2;Individual;;1.0;In Service;03 Dec 07
7;UNIT OF PROPORTION MEASUREMENT;2-2;Individual;;1.0;In Service;03 Dec 07
8;UNIT OF LINEAR MEASUREMENT, FT, KF, YD, SM, NM, M, HM, KM;1-2;Individual;UNIT OF LINEAR MEASUREMENT, FEET, KILOFEET, YARDS, STATUTE MILES, NAUTICAL MILES, METRES, HECTOMETRES, AND KILOMETRES.;1.0;In Service;03 Dec 07
9;UNIT OF MEASUREMENT, DIRECTION IN DEGREES;3-3;Individual;UNITS OF MEASUREMENT FOR DIRECTION.;1.0;In Service;03 Dec 07
10;UNIT OF MEASUREMENT, DIRECTION IN MILS;3-3;Individual;;1.0;In Service;03 Dec 07
11;UNIT OF WEIGHT MEASUREMENT, KILOGRAM;2-2;Individual;;1.0;In Service;03 Dec 07
12;UNIT OF TEMPERATURE MEASURE, DEGREES CELSIUS OR FAHRENHEIT;1-1;Individual;;1.0;In Service;03 Dec 07
13;UNIT OF LINEAR MEASUREMENT, FEET OR METRES;1-2;Individual;;1.0;In Service;03 Dec 07
14;UNIT OF LINEAR MEASUREMENT, FT, YD, NM, M, KM, KYD;1-3;Individual;;1.0;In Service;03 Dec 07
15;UNIT OF FUEL MEASUREMENT;3-4;Individual;;1.0;In Service;03 Dec 07
16;UNIT OF ANGULAR SPEED VELOCITY MEASUREMENT, SPR;3-3;Individual;;1.0;In Service;03 Dec 07
17;UNIT OF ANGULAR SPEED VELOCITY MEASUREMENT, RPM;3-3;Individual;;1.0;In Service;03 Dec 07
18;UNIT OF ELECTROMAGNETIC EMISSION MEASUREMENT, HERTZ;2-2;Individual;;1.0;In Service;03 Dec 07
19;UNIT OF LINEAR MEASUREMENT, FT, YD, SM, NM, M, KM, HF;1-2;Individual;UNIT OF LINEAR MEASUREMENT, FEET, YARDS, STATUTE MILES, NAUTICAL MILES, METRES, KILOMETRES, OR HUNDREDS OF FEET.;1.0;In Service;03 Dec 07
20;UNIT OF LINEAR MEASUREMENT, M, KM, NM;1-2;Individual;UNIT OF LINEAR MEASUREMENT, METRES, KILOMETRES, OR NAUTICAL MILES.;1.0;In Service;03 Dec 07
21;UNIT OF WEIGHT MEASUREMENT, KG, LB, STN, LTN, TNE;2-3;Individual;UNIT OF WEIGHT MEASUREMENT, KILOGRAM, POUND, SHORT TON, LONG TON, OR METRIC TON.;1.0;In Service;03 Dec 07
22;UNIT OF LINEAR MEASUREMENT, AIR CARGO;1-2;Individual;THE UNIT OF LINEAR MEASUREMENT OF AIR CARGO.;1.0;In Service;03 Dec 07
23;UNIT OF ACOUSTIC FREQUENCY MEASUREMENT;2-2;Individual;DIMENSION OF FREQUENCY MEASUREMENT ASSOCIATED WITH AN ACOUSTIC EMISSION.;1.0;In Service;03 Dec 07
24;UNIT OF POWER MEASUREMENT, DECIBELS;2-2;Individual;;1.0;In Service;03 Dec 07
25;UNIT OF ANGULAR SPEED VELOCITY MEASUREMENT, TPK;3-3;Individual;;1.0;In Service;03 Dec 07
26;UNIT OF ANGULAR MEASUREMENT, DEGREES;3-3;Individual;;1.0;In Service;03 Dec 07
27;UNIT OF LINEAR MEASUREMENT, YARDS OR KILOYARDS;2-3;Individual;;1.0;In Service;03 Dec 07
28;UNIT OF LINEAR MEASUREMENT, FEET, YARDS, OR METRES;1-2;Individual;;1.0;In Service;03 Dec 07
29;UNIT OF LINEAR MEASUREMENT, MEDIAN DETECTION RANGE;3-3;Individual;;1.0;In Service;03 Dec 07
30;UNIT OF LINEAR MEASUREMENT, YD, KYD, M, KM, NM;1-3;Individual;UNIT OF LINEAR MEASUREMENT, YARDS, KILOYARDS, METRES, KILOMETRES, OR NAUTICAL MILES.;1.0;In Service;03 Dec 07
31;UNIT OF LINEAR MEASUREMENT, YD, KYD, NM;2-3;Individual;UNIT OF LINEAR MEASUREMENT, YARDS, KILOYARDS, OR NAUTICAL MILES.;1.0;In Service;03 Dec 07
32;UNIT OF TIME MEASUREMENT, HOURS OR MINUTES;2-3;Individual;;1.0;In Service;03 Dec 07
33;UNIT OF MEASUREMENT, HAZARD DURATION;2-3;Individual;TO MEASURE THE LENGTH OF TIME OF A NUCLEAR, BIOLOGICAL, OR CHEMICAL HAZARD FOR A PARTICULAR AREA IN SECONDS, MINUTES, HOURS, DAYS, WEEKS OR MONTHS.;1.0;In Service;03 Dec 07
34;UNIT OF FUEL MEASUREMENT, HKG OR KLB;3-3;Individual;PROVIDES THE QUANTITY OF FUEL FOR AIRCRAFT IN THOUSANDS OF POUNDS OR HUNDREDS OF KILOS.;1.0;In Service;03 Dec 07
35;UNIT OF ANGULAR MEASUREMENT, MILS;3-3;Individual;;1.0;In Service;03 Dec 07
37;UNIT OF WEIGHT MEASUREMENT;2-3;Individual;;1.0;In Service;03 Dec 07
39;UNIT OF CARGO MEASUREMENT;1-4;Individual;A UNIT OF LINEAR, VOLUME, WEIGHT, PACKING, OR AMMUNITION TYPE MEASUREMENT; USED TO IDENTIFY QUANTITY OF CARGO.;1.0;In Service;03 Dec 07
40;UNIT OF MEASURE, EXPLOSIVES;1-3;Individual;;1.0;In Service;03 Dec 07
41;UNIT OF SHIPPING CARGO WEIGHT MEASUREMENT;3-3;Individual;;1.0;In Service;03 Dec 07
42;UNIT OF MEASUREMENT, RESTRICTION;1-2;Individual;THE UNIT OF MEASUREMENT FOR A RESTRICTION EXPRESSED IN LINEAR TERMS OR AS A PERCENTAGE.;1.0;In Service;03 Dec 07
43;UNIT OF MEASUREMENT, COMBAT ENGINEERS;1-3;Individual;;1.0;In Service;03 Dec 07
44;UNIT OF TIME MEASUREMENT, HOURS, MINUTES, OR SECONDS;2-3;Individual;;1.0;In Service;03 Dec 07
45;SPEED IN KPH, KTS, MPH;3-3;Individual;THE SPEED EXPRESSED IN KPH OR KTS OR MPH.;1.0;In Service;03 Dec 07
46;UNIT OF MEASUREMENT, MM, CM, M;1-2;Individual;;1.0;In Service;03 Dec 07
47;UNIT OF MINE ARMING TIME MEASUREMENT;2-3;Individual;;1.0;In Service;03 Dec 07
48;UNIT OF VOLUME MEASUREMENT, CUBIC METRES;3-3;Individual;;1.0;In Service;03 Dec 07
