Structure;1-5;1-1;1-5;1-1;1-2;1-1;1-1;
FFIRN/FUDN;1897/1;1025/2;1897/2;1025/2;1008/106;1025/2;1266/2;
FUD Name;MATERIAL DEPTH;HYPHEN;MATERIAL DEPTH, MAX;HYPHEN;UNIT OF LINEAR MEASUREMENT, FT, IN, YD, MM, CM, M, KM;HYPHEN;VALIDITY;
