Structure;1-4;1-1;1-4;2-2
FFIRN/FUDN;1023/39;1025/2;1023/39;1008/82
FUD Name;CONTEXT QUANTITY, 0 TO 9999, 0-1 DECIMAL PT PERMITTED;HYPHEN;CONTEXT QUANTITY, 0 TO 9999, 0-1 DECIMAL PT PERMITTED;UNITS OF LINEAR MEASUREMENT, NAUTICAL MILES
