Structure;1-4;1-3;1-1;1-30
FFIRN/FUDN;1044/283;1008/89;1025/2;1592/1
FUD Name;QUANTITY, 1-9999;QUANTITY UNIT OF MEASUREMENT;HYPHEN;MATERIAL
