Structure;1-2;4-5;1-3;2-3
FFIRN/FUDN;1258/1;1276/1;1023/3;1008/3
FUD Name;REFERENCE TIME INDICATOR;ARITHMETIC CHANGE;CONTEXT QUANTITY, 1-999;UNIT OF TIME MEASUREMENT
