Structure;2-2;2-2;2-2;2-2;1-1;;;
FFIRN/FUDN;1000/1;1001/1;1002/1;1683/1;1003/2;;;
FUD Name;DAY;HOUR (TIME);MINUTE (TIME);SECOND (TIME);TIME ZONE ZULU;;;
