Structure;1-3;1-1;1-3;1-1;1-3;1-1;1-3;1-1;1-3;1-1;1-3;
FFIRN/FUDN;1580/7;1025/2;1580/8;1025/2;1580/9;1025/2;1580/10;1025/2;1580/11;1025/2;1580/12;
FUD Name;FRONT RADIUS IN METRES;HYPHEN;REAR RADIUS IN METRES;HYPHEN;STARBOARD RADIUS IN METRES;HYPHEN;PORT RADIUS IN METRES;HYPHEN;BOTTOM RADIUS IN METRES;HYPHEN;TOP RADIUS IN METRES;
