Structure;2-2;2-2;2-2;1-1;3-3;4-4;1-1;2-2;2-2;2-2;1-1;3-3;4-4;;;
FFIRN/FUDN;1000/1;1001/1;1002/1;1003/1;1004/1;1005/7;1025/2;1000/1;1001/1;1002/1;1003/1;1004/1;1005/7;;;
FUD Name;DAY;HOUR (TIME);MINUTE (TIME);TIME ZONE;MONTH NAME, ABBREVIATED;YEAR;HYPHEN;DAY;HOUR (TIME);MINUTE (TIME);TIME ZONE;MONTH NAME, ABBREVIATED;YEAR;;;
