FUDN;Name;Size;Type;Explanation;Version;Status;Modified
1;AIRCRAFT TYPE;2-10;Instructive;CODES USED TO IDENTIFY SPECIFIC TYPES OF AIRCRAFT.;1.0;In Service;03 Dec 07
2;AIRCRAFT CODE;2-6;Individual;;1.0;In Service;03 Dec 07
3;TRANSPORT AIRCRAFT TYPE;2-6;Individual;THE TYPE OF TRANSPORT AIRCRAFT.;1.0;In Service;03 Dec 07
4;AIRCRAFT TYPE MODEL;2-6;Individual;;1.0;In Service;03 Dec 07
7;VERTICAL REPLENISHMENT HELICOPTER, OTHERS;1-20;Instructive;THE TYPES OF HELICOPTERS, DEFINED BY THEIR LITERAL NAMES, PROVIDED BY A SPECIFIED UNIT FOR A VERTICAL REPLENISHMENT AT SEA OPERATION.;1.0;In Service;03 Dec 07
8;HELICOPTER TYPE;2-6;Individual;;1.0;In Service;03 Dec 07
11;AIRCRAFT MODEL AND MARK DESIGNATOR;1-4;Instructive;;1.0;In Service;03 Dec 07
12;AIRCRAFT IDENTIFIER;3-29;Instructive;AIRCRAFT IDENTIFICATION BY NAME, MODEL DESIGNATION, OR MARK NUMBER. RELATED DOC: AOBAC, PART 1 ;1.0;In Service;03 Dec 07
13;TRANSPORT OR UTILITY HELICOPTER TYPE;2-6;Individual;;1.0;In Service;03 Dec 07
14;AEW AIRCRAFT;3-6;Individual;ALL KNOWN AIRCRAFT USED TO PERFORM EARLY WARNING MISSIONS.;1.0;In Service;03 Dec 07
16;VSTOL AIRCRAFT TYPE;3-6;Individual;;1.0;In Service;03 Dec 07
17;VSTOL HELICOPTER TYPE;3-4;Individual;;1.0;In Service;03 Dec 07
18;AIRCRAFT TYPE AND MODEL, OTHER;2-10;Instructive;THE TYPE AND MODEL NUMBER OF AN AIRCRAFT.;1.0;In Service;03 Dec 07
19;REFUELLING AIRCRAFT TYPE;3-6;Individual;THE KIND OF AIRCRAFT USED TO TRANSPORT AND DISPENSE FUEL TO OTHER AIRCRAFT WHILE IN FLIGHT.;1.0;In Service;03 Dec 07
20;AIRCRAFT BY TYPE, MODEL OR CODE;2-9;Individual;;1.0;In Service;03 Dec 07
21;LINK 4 CONTROLLED AIRCRAFT;1-20;Instructive;A TYPE OF AIRCRAFT CAPABLE OF BEING CONTROLLED OVER A LINK 4 TACTICAL DATA LINK.;1.0;In Service;03 Dec 07
