Structure;1-8;1-2;3-3;
FFIRN/FUDN;1023/92;1008/13;1130/16;
FUD Name;CONTEXT QUANTITY, -9999.99 TO 99999.99;UNIT OF LINEAR MEASUREMENT, FEET OR METRES;ELEVATION QUALIFIER;
