Structure;1-4;3-3;1-1;
FFIRN/FUDN;1023/39;1008/81;1023/13;
FUD Name;CONTEXT QUANTITY, 0 TO 9999, 0-1 DECIMAL PT PERMITTED;UNIT OF SPEED MEASUREMENT, KNOTS;CONTEXT QUANTITY, 0-9;
