Structure;1-3;1-1;1-3;1-1;1-3;1-1;1-3;
FFIRN/FUDN;1012/12;1025/3;1012/12;1025/3;1012/12;1025/3;1012/12;
FUD Name;INTERNET PROTOCOL (IP) ADDRESS OCTET;DECIMAL POINT;INTERNET PROTOCOL (IP) ADDRESS OCTET;DECIMAL POINT;INTERNET PROTOCOL (IP) ADDRESS OCTET;DECIMAL POINT;INTERNET PROTOCOL (IP) ADDRESS OCTET;
