Structure;4-8;1-1;3-5;
FFIRN/FUDN;1128/2;1025/4;1128/18;
FUD Name;PHONETIC ALPHABETIC IDENTIFIER;BLANK SPACE CHARACTER;PHONETIC NUMERIC IDENTIFIER ONE TO NINE;
