Structure;3-4;1-5;1-2;
FFIRN/FUDN;1130/9;1023/4;1008/60;
FUD Name;ALTITUDE REFERENCE QUALIFIER;CONTEXT QUANTITY, 0-99999;UNIT OF ALTITUDE MEASUREMENT;
